OTU	ERR1456790	ERR1456791	ERR1456792	ERR1456793	ERR1456794	ERR1456795	ERR1456796	ERR1456797	ERR1456798	ERR1456799	ERR1456800	ERR1456801	ERR1456802	ERR1456803	ERR1456804	ERR1456805	ERR1456806	ERR1456807	ERR1456808	ERR1456809	ERR1456810	ERR1456811	ERR1456812	ERR1456813	ERR1456814	ERR1456815	ERR1456816	ERR1456817	ERR1456818	ERR1456819	ERR1456821	ERR1456822	ERR1456823	ERR1456824	ERR1456825	ERR1456826	ERR1456827	ERR1456828	ERR1456829
cd0d21412c8489a579b20356b0aa36d6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ea5b34e4e6fa8288bd2d7e4d12bb1fad	60	0	0	65	0	74	125	0	85	31	42	0	0	47	66	81	59	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
096fa3c027c577a4e147a1b447f65858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6dcf1734a07c6a39f5ee28f7a0a20c03	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c82cb3f545f3effcfb0d7ff6ddb608e2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0
30b6a46f313875313ba15966dda6d31c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13aa2251a5acd8c0ee77085bb520087e	48	55	34	38	60	74	85	124	47	53	40	118	132	55	43	67	27	30	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b86f455c274ee623983dd5a42a0e928a	97	85	7	51	64	67	77	0	11	87	0	0	0	59	50	105	29	13	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05b341647779384fdbb345901942d7e7	0	0	61	0	0	0	0	0	92	0	71	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98b56be8ee02796478995ca2483dbdee	29	0	0	28	0	35	38	0	23	12	17	0	72	30	27	0	18	15	26	0	0	0	114	0	0	0	16	0	0	13	30	0	20	19	0	0	8	0	0
